h,Timestamp,ID,Tinggal di PPR semenjak,"Bagi responden yang tinggal di PPR kurang daripada 12 bulan, sila nyatakan tempoh dalam bulan:",Air,Elektrik,Telefon,"Jumlah tanggungan bil telefon, sila nyatakan:",Internet (unifi/maxis/lain-lain),Anggaran perbelanjaan perubatan sekeluarga sebulan,Anggaran perbelanjaan makanan asas sekeluarga sebulan,Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Susu],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Lampin],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Tambang bas],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Yuran sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Duit makan sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Alat menulis],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Buku termasuk buku latihan],Adakah anda mempunyai kanak-kanak bawah umur 12 yang belum terima vaksinasi?,Adakah anda menghadapi masalah tikus di rumah ataupun di tingkat rumah anda?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana kencing tikus?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana denggi?,Adakah masalah tikus di persekitaran PPR sudah mencapai tahap yang serius?,"Jikalau ada apa-apa masalah serangga atau haiwan perosak selain dari nyamuk dan tikus, sila nyatakan:",Sumber air bersih atau tidak?,Apakah cadangan mencegah membaling sampah kebawah dari atas?,Adakah rumah anda pernah dipecah masuk?,Pernahkah ahli keluarga menjadi mangsa jenayah di Kota Damansara,"Jikalau ada, nyatakan jenis jenayah:",Adakah terdapat aktiviti yang berkaitan dengan dadah di kawasan PPR?,Adakah isi rumah umur 17 ke bawah yang meninggal dunia?,"Jika ada, sila nyatakan sebab:","Sekiranya ada berlaku kematian oleh salah seorang dari ahli keluarga anda yang berumur 17 kebawah, sila nyatakan lokasi:",Tarikh survey ini di isikan oleh enumerator atau responden
100,19/04/2016 16:40,dbdfa6b15a0c849145d62205d2ca177aa333d2af32d0569ec1fe3546ef218ce7,3,,< 20,< 50,,,,,< 500,,,,150 ke atas,,,,,Tidak,Tidak,Tidak,Ya,,,,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
101,13/09/2016 15:29,88603a33fe4fef1dbe95a3666643155b722719e5098658073c9bb8704d8b70fb,2007,,< 20,< 75,,,0,< 50,< 500,150 ke atas,150 ke atas,0,0,0,0,0,Tidak,Ya,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Ya,Ya,hilang motor,Ya,Tidak,,,04/03/2016
102,01/09/2016 12:35,7084f0d1c5e6fe419f22b487aaf1d3e60019ad32cc93be1b253de23aa3521f00,7,,< 20,< 50,,,0,< 50,< 500,< 100,,< 125,150 ke atas,< 100,,< 100,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
103,22/08/2016 16:14,efeafbd503f884e286e00b91f622e0464843bfc03420260917cc2751f24bc96b,9,,< 20,< 100,,,0,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Ya,Kemalangan,Hospital,16/02/2016
104,28/04/2016 21:13,57f23ffd2cfc2cad4c7af9915184d045b1f6f3a28474386e97994df5dc7d255e,3,,80 ke atas,125 ke atas,,,0,200 ke atas,< 500,0,0,0,< 100,150 ke atas,150 ke atas,< 100,Ya,Tidak,Tidak,Tidak,Ya,tebuan,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,20/02/2016
105,28/04/2016 23:33,5e3a58d82137b05a7dd00716fc23e03b04eca468acfa213498826a95a96dbf9d,5,,< 20,< 50,,,0,200 ke atas,< 600,0,0,0,150 ke atas,150 ke atas,150 ke atas,150 ke atas,Tidak,Tidak,Tidak,Ya,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Ya,Kemalangan,Kawasan PPR,20/02/2016
106,01/09/2016 13:35,859b5b7c1615430bcf1ae88a28e6f49d0c091534fb3f061145d3d63b21172bd2,9,,< 40,< 50,,,0,200 ke atas,< 600,,,,,,,,Tidak,Tidak,Tidak,Ya,Ya,,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,
107,29/04/2016 0:29,50441b311a4632e2ee311d49aecd3dfbc46a2e1721bb2f59d47161331f708cae,4,,< 20,< 75,,,0,200 ke atas,< 500,< 100,< 100,0,0,0,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Mengenakan denda,Tidak,Tidak,,Ya,Tidak,,,28/02/2016
108,01/09/2016 12:58,cee616119d4d0dc29cfbbabe24e5a31582ea87694049d234a3cb2a7ee825c1d7,5,,< 20,< 75,,,0,< 150,< 600,0,0,0,0,0,0,0,Tidak,Ya,Tidak,Tidak,Tidak,kucing,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
109,22/08/2016 16:36,a5ee9a48ea29269fa2f3e23df4f9f91f9ffd94cff8198be9bfd6c28454560a53,4,,< 40,< 100,,,0,,< 800,,,,,150 ke atas,,150 ke atas,Tidak,Tidak,Tidak,Ya,Ya,lipas,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
